,0.001km,0.025km,0.05km,0.075km,0.1km,0.125km,0.15km,0.175km,0.2km,0.225km,0.25km,0.275km,0.3km,0.325km,0.35km,0.375km,0.4km,0.425km,0.45km,0.475km,0.5km,0.55km,0.6km,0.65km,0.7km,0.75km,0.8km,0.85km,0.9km,0.95km,1.0km,1.05km,1.1km,1.15km,1.2km,1.25km,1.3km,1.35km,1.4km,1.45km,1.5km,1.55km,1.6km,1.65km,1.7km,1.75km,1.8km,1.85km,1.9km,1.95km,2.0km,2.25km,2.5km,2.75km,3.0km,3.25km,3.5km,3.75km,4.0km,4.25km,4.5km,4.75km,5.0km,5.25km,5.5km,5.75km,6.0km,6.25km,6.5km,6.75km,7.0km,7.25km,7.5km,7.75km,8.0km,8.25km,8.5km,8.75km,9.0km,9.25km,9.5km,9.75km,10.0km
89,281.842,281.79,281.506,281.25,280.967,280.726,280.405,280.18,279.944,279.756,279.602,279.477,279.284,279.178,278.972,278.732,278.475,278.248,277.963,277.738,277.475,277.008,276.545,276.04,275.646,275.243,274.858,274.622,274.48,274.115,273.777,274.466,274.248,274.618,274.98,275.22,275.24,274.998,274.878,274.89,274.69,274.498,274.39,274.182,274.028,274.06,273.988,274.313,274.87,275.65,276.765,277.57,276.038,275.698,274.338,272.84,271.643,270.51,269.008,267.686,266.883,264.654,261.923,260.011,258.159,256.245,254.42,252.638,250.923,248.805,246.93,245.105,243.224,241.42,239.21,237.33,235.28,233.86,231.59,229.16,226.795,224.31,222.05
90,279.492,279.166,278.936,278.705,278.435,278.225,278.112,277.948,277.754,277.528,277.338,277.105,276.896,276.752,276.595,276.395,276.292,276.158,276.02,275.875,275.724,275.428,275.14,274.848,274.536,274.218,273.968,273.72,273.511,273.324,273.133,273.344,273.158,272.943,272.87,272.935,272.858,272.707,272.43,272.117,271.838,271.543,271.31,271.188,271.67,272.19,272.368,272.637,273.14,273.89,274.235,276.142,276.293,274.99,273.588,272.819,271.15,269.716,267.765,266.153,265.18,263.79,262.534,261.0,259.357,257.41,255.623,253.683,251.518,249.477,247.278,245.773,243.625,241.63,239.52,237.328,235.132,233.002,230.5,227.88,225.703,223.22,221.25
91,283.03,283.414,283.438,283.313,283.264,283.054,282.826,282.629,282.466,282.28,282.1,281.895,281.77,281.494,281.266,281.1,280.817,280.558,280.32,280.13,279.91,279.485,278.98,278.53,278.14,277.7,277.28,276.785,276.35,275.92,275.52,275.03,274.62,274.234,273.726,273.336,272.8,272.236,271.729,271.276,270.848,270.503,270.154,269.752,269.446,269.091,268.872,268.6,268.3,268.27,267.972,267.956,267.916,266.38,265.08,268.67,269.512,269.006,267.65,266.563,264.653,263.65,263.29,261.09,258.848,256.63,254.2,252.193,250.006,248.741,247.63,245.496,243.703,241.61,239.47,237.898,235.333,232.814,230.356,227.724,225.278,223.254,221.224
92,280.792,281.083,281.163,280.968,281.018,281.16,281.22,281.622,281.626,281.483,281.51,281.539,281.306,281.313,281.12,280.892,280.635,280.41,280.17,279.914,279.686,279.224,278.844,278.36,277.886,277.425,277.05,276.632,276.212,275.72,275.31,274.888,274.504,273.982,273.605,273.165,272.81,272.308,271.831,271.275,270.78,270.236,269.712,269.32,269.158,268.895,268.536,268.065,267.672,267.456,267.115,265.625,265.401,264.574,268.635,269.605,267.33,265.378,264.185,262.816,260.531,258.123,258.937,257.498,256.46,254.47,253.253,251.45,249.36,247.373,245.746,244.4,242.144,240.264,238.56,236.163,233.903,231.807,229.21,226.748,224.367,222.298,219.837
93,284.246,284.52,284.431,284.423,284.184,283.98,283.75,283.503,283.272,283.047,282.772,282.545,282.328,282.096,281.886,281.688,281.48,281.39,281.193,281.045,280.905,280.671,280.23,279.795,279.335,278.891,278.45,277.974,277.504,277.095,276.65,276.22,275.86,275.436,275.05,274.695,274.282,273.95,273.71,273.313,272.824,272.37,271.95,271.424,270.99,270.51,270.073,269.642,269.23,268.911,268.476,266.35,265.873,264.472,263.502,264.128,262.772,262.38,261.6,259.606,258.943,256.756,254.42,252.27,253.08,251.233,250.66,250.265,248.524,246.838,245.937,243.858,241.848,239.319,236.88,234.697,232.547,230.517,228.017,225.55,223.897,222.37,220.526
94,279.207,280.1,280.08,279.851,279.651,279.595,279.59,279.501,279.262,279.056,278.827,278.586,278.37,278.248,278.024,277.797,277.58,277.322,277.102,276.864,276.624,276.188,275.802,275.29,275.087,274.845,274.43,273.93,273.483,273.013,272.538,272.06,271.573,271.395,271.585,271.488,271.448,271.358,271.04,270.571,270.087,269.616,269.13,268.722,268.37,267.907,267.474,266.98,266.462,265.997,265.492,263.14,260.887,259.888,259.06,257.84,259.212,259.46,259.027,257.0,254.693,255.697,254.31,252.957,252.465,252.033,250.49,248.81,246.82,244.603,242.465,240.31,238.147,236.019,233.97,231.721,231.143,230.21,228.348,226.138,224.13,222.07,219.76
95,282.533,284.638,284.563,284.376,284.172,283.933,283.706,283.46,283.247,283.06,282.82,282.568,282.3,282.088,281.85,281.614,281.359,281.101,280.844,280.587,280.388,279.903,279.406,278.9,278.472,277.99,277.55,277.124,276.69,276.27,275.85,275.421,274.95,274.67,274.295,273.934,273.597,273.2,272.8,272.45,272.12,272.172,271.768,271.673,271.416,271.235,270.787,270.343,269.962,269.563,269.19,266.941,266.868,265.54,263.965,262.623,261.012,259.68,258.13,255.96,253.97,252.25,249.936,249.34,248.64,246.843,245.168,244.87,242.865,240.94,241.05,239.375,238.752,237.33,236.16,235.457,233.52,232.1,229.918,227.603,225.3,222.773,220.7
96,274.342,276.486,276.487,276.37,276.213,276.498,276.773,276.77,276.738,277.832,278.13,278.118,278.177,278.279,278.527,278.576,278.56,278.731,278.92,279.134,278.97,278.62,278.35,277.907,277.494,277.174,276.863,276.66,276.74,276.714,276.567,276.215,275.96,275.562,275.25,274.802,274.447,274.38,274.33,273.881,273.55,273.198,273.148,272.67,272.276,271.86,271.406,271.297,270.965,270.777,270.582,269.262,268.102,267.173,265.805,264.12,261.912,260.323,259.51,257.65,255.575,253.532,252.137,250.78,249.105,247.69,245.648,244.098,242.213,240.31,238.46,237.139,235.61,233.67,231.48,229.213,227.47,226.875,225.673,225.245,224.665,224.31,223.65
97,287.242,288.4,288.308,288.118,287.877,287.82,287.62,287.404,287.21,287.025,286.86,286.7,286.465,286.24,286.022,285.818,285.636,285.435,285.302,285.126,284.905,284.497,284.736,284.945,284.765,284.492,284.23,283.89,283.455,282.993,282.655,282.41,282.556,282.112,281.604,281.278,280.878,280.64,280.552,280.157,279.787,279.408,279.197,278.91,278.532,278.068,277.682,277.2,276.809,276.465,276.044,273.81,271.668,269.688,267.94,267.203,265.466,263.366,261.733,259.963,258.26,256.683,254.775,252.646,250.748,249.057,247.33,245.374,243.1,241.185,239.625,238.71,236.965,235.27,233.535,232.37,231.36,229.71,227.898,226.516,224.893,223.327,221.315
98,277.256,279.362,279.824,279.755,279.983,280.75,281.476,281.71,281.68,282.495,283.058,283.1,283.023,282.998,283.059,283.039,283.06,283.363,283.375,283.411,283.362,283.615,283.253,282.857,282.36,281.869,281.38,281.257,281.572,281.594,281.306,281.376,281.27,280.878,280.355,279.998,279.65,279.33,279.294,278.85,278.46,278.258,278.328,278.3,278.013,278.316,277.972,277.531,277.069,276.62,276.145,274.136,272.31,270.758,268.43,266.202,265.258,263.376,261.173,259.33,257.486,255.642,253.643,251.324,249.543,247.122,245.118,242.906,241.12,239.37,237.587,238.01,237.718,236.057,234.315,232.698,231.72,229.84,229.21,228.13,226.73,225.59,225.48
