,0.001km,0.025km,0.05km,0.075km,0.1km,0.125km,0.15km,0.175km,0.2km,0.225km,0.25km,0.275km,0.3km,0.325km,0.35km,0.375km,0.4km,0.425km,0.45km,0.475km,0.5km,0.55km,0.6km,0.65km,0.7km,0.75km,0.8km,0.85km,0.9km,0.95km,1.0km,1.05km,1.1km,1.15km,1.2km,1.25km,1.3km,1.35km,1.4km,1.45km,1.5km,1.55km,1.6km,1.65km,1.7km,1.75km,1.8km,1.85km,1.9km,1.95km,2.0km,2.25km,2.5km,2.75km,3.0km,3.25km,3.5km,3.75km,4.0km,4.25km,4.5km,4.75km,5.0km,5.25km,5.5km,5.75km,6.0km,6.25km,6.5km,6.75km,7.0km,7.25km,7.5km,7.75km,8.0km,8.25km,8.5km,8.75km,9.0km,9.25km,9.5km,9.75km,10.0km
2553,9.19,11.923,14.769,17.615,20.461,23.307,26.153,28.999,31.846,34.692,37.538,40.384,43.23,46.076,48.922,51.768,54.615,57.461,60.307,63.153,63.446,61.867,60.288,58.709,57.13,54.165,51.075,47.986,44.896,42.259,40.339,38.42,36.5,34.581,32.662,30.742,28.823,26.903,24.991,23.924,22.856,21.788,20.721,19.653,18.586,17.518,16.451,15.383,14.561,14.914,15.266,17.029,18.793,20.556,21.716,20.146,18.576,17.007,15.437,15.089,16.551,18.013,19.474,20.936,22.398,26.613,31.035,35.457,39.879,44.301,48.723,51.061,51.188,51.314,51.44,51.567,51.693,51.819,51.946,57.107,66.071,75.036,84.001
2554,18.885,20.126,21.419,22.713,24.006,25.299,26.593,27.886,29.179,30.472,31.766,33.059,34.352,35.645,36.939,38.232,39.525,40.819,42.112,43.405,44.069,44.863,45.657,46.451,47.245,47.934,48.613,49.293,49.973,50.271,49.963,49.655,49.346,49.038,48.73,48.422,48.114,47.806,47.509,48.576,49.644,50.712,51.779,52.847,53.914,54.982,56.049,57.117,58.174,59.185,60.196,65.251,70.305,75.36,77.493,66.4,55.307,44.214,33.121,25.874,24.321,22.768,21.215,19.662,18.109,27.092,36.867,46.642,56.417,66.191,75.966,82.164,84.565,86.965,89.365,91.766,94.166,96.567,98.967,100.0,100.0,100.0,100.0
2555,9.558,10.951,12.401,13.852,15.302,16.752,18.203,19.653,21.104,22.554,24.005,25.455,26.905,28.356,29.806,31.257,32.707,34.158,35.608,37.058,37.77,38.566,39.362,40.158,40.954,41.921,42.903,43.885,44.867,46.299,48.447,50.595,52.742,54.89,57.038,59.185,61.333,63.48,65.589,63.087,60.585,58.083,55.581,53.079,50.576,48.074,45.572,43.07,40.724,39.125,37.527,29.533,21.54,13.547,7.057,7.371,7.685,7.999,8.313,8.242,7.603,6.963,6.324,5.684,5.045,6.443,7.995,9.546,11.098,12.649,14.201,17.39,22.317,27.244,32.171,37.098,42.025,46.953,51.88,59.048,67.908,76.768,85.628
2556,13.363,13.893,14.446,14.998,15.55,16.103,16.655,17.207,17.76,18.312,18.864,19.417,19.969,20.522,21.074,21.626,22.179,22.731,23.283,23.836,24.127,24.488,24.849,25.209,25.57,26.1,26.645,27.19,27.735,28.274,28.802,29.33,29.857,30.385,30.913,31.441,31.969,32.497,33.026,33.749,34.472,35.195,35.918,36.64,37.363,38.086,38.809,39.532,40.218,40.729,41.24,43.796,46.351,48.907,49.807,43.214,36.621,30.028,23.435,18.984,17.705,16.426,15.147,13.868,12.589,12.356,12.201,12.045,11.89,11.735,11.58,11.929,12.813,13.698,14.582,15.466,16.351,17.235,18.119,19.391,20.954,22.518,24.081
2557,7.105,8.458,9.866,11.275,12.683,14.092,15.5,16.909,18.317,19.726,21.134,22.543,23.951,25.36,26.768,28.177,29.585,30.994,32.402,33.811,34.575,35.559,36.542,37.526,38.509,39.345,40.168,40.992,41.815,42.078,41.451,40.824,40.197,39.57,38.943,38.316,37.689,37.062,36.438,36.19,35.942,35.694,35.446,35.198,34.949,34.701,34.453,34.205,33.89,33.256,32.621,29.447,26.273,23.099,20.86,22.848,24.837,26.825,28.813,30.0,30.0,30.0,30.0,30.0,30.0,29.928,29.85,29.773,29.695,29.618,29.54,29.745,30.25,30.756,31.261,31.766,32.272,32.777,33.283,33.144,32.518,31.893,31.267
2558,14.396,15.165,15.967,16.768,17.57,18.371,19.173,19.974,20.775,21.577,22.378,23.18,23.981,24.783,25.584,26.386,27.187,27.989,28.79,29.591,30.018,30.552,31.087,31.621,32.156,32.295,32.399,32.503,32.606,32.766,33.014,33.263,33.511,33.76,34.008,34.257,34.505,34.754,35.012,36.435,37.859,39.282,40.705,42.129,43.552,44.976,46.399,47.822,49.191,50.296,51.401,56.925,62.45,67.975,70.928,62.242,53.556,44.87,36.184,30.006,27.539,25.072,22.606,20.139,17.672,17.644,17.799,17.955,18.11,18.265,18.42,19.603,21.877,24.151,26.425,28.699,30.973,33.247,35.521,37.331,38.791,40.25,41.709
2559,9.709,10.398,11.116,11.835,12.553,13.271,13.989,14.708,15.426,16.144,16.862,17.58,18.299,19.017,19.735,20.453,21.172,21.89,22.608,23.326,23.645,23.945,24.245,24.545,24.845,25.463,26.11,26.757,27.403,28.179,29.16,30.141,31.122,32.103,33.084,34.065,35.046,36.027,37.015,38.743,40.471,42.2,43.928,45.656,47.385,49.113,50.842,52.57,53.963,53.752,53.54,52.482,51.424,50.366,47.758,38.13,28.502,18.874,9.247,4.273,6.192,8.11,10.029,11.947,13.866,14.649,15.348,16.046,16.744,17.442,18.14,20.032,23.19,26.349,29.507,32.666,35.824,38.982,42.141,44.51,46.282,48.054,49.826
2560,14.188,15.22,16.295,17.37,18.445,19.52,20.595,21.67,22.745,23.82,24.895,25.97,27.045,28.12,29.195,30.27,31.345,32.42,33.495,34.57,35.254,36.292,37.329,38.367,39.405,40.494,41.589,42.684,43.778,44.782,45.64,46.498,47.357,48.215,49.074,49.932,50.79,51.649,52.503,52.859,53.215,53.571,53.926,54.282,54.638,54.994,55.35,55.706,55.894,55.283,54.672,51.616,48.559,45.503,41.826,35.338,28.849,22.361,15.873,12.147,12.513,12.878,13.244,13.609,13.974,15.948,18.043,20.137,22.232,24.327,26.421,29.185,32.659,36.134,39.608,43.082,46.556,50.031,53.505,55.475,56.309,57.143,57.977
2561,7.244,8.911,10.648,12.385,14.121,15.858,17.595,19.332,21.069,22.805,24.542,26.279,28.016,29.752,31.489,33.226,34.963,36.7,38.436,40.173,40.498,39.952,39.407,38.861,38.315,39.248,40.314,41.38,42.446,43.432,44.291,45.151,46.01,46.87,47.729,48.589,49.448,50.308,51.162,51.451,51.74,52.029,52.317,52.606,52.895,53.184,53.472,53.761,53.846,52.952,52.059,47.592,43.125,38.659,34.394,31.045,27.696,24.348,20.999,18.669,17.846,17.024,16.202,15.38,14.557,17.386,20.489,23.593,26.696,29.799,32.902,33.857,32.53,31.204,29.877,28.55,27.224,25.897,24.571,25.425,27.927,30.429,32.93
2562,17.516,18.318,19.153,19.988,20.823,21.658,22.494,23.329,24.164,24.999,25.835,26.67,27.505,28.34,29.175,30.011,30.846,31.681,32.516,33.351,33.88,34.676,35.472,36.268,37.064,38.015,38.979,39.944,40.908,41.912,42.978,44.045,45.111,46.177,47.244,48.31,49.376,50.443,51.509,52.628,53.746,54.864,55.983,57.101,58.22,59.338,60.456,61.575,62.597,63.162,63.726,66.547,69.368,72.189,74.519,74.624,74.728,74.833,74.938,74.006,71.539,69.072,66.606,64.139,61.672,54.573,47.125,39.678,32.23,24.783,17.335,14.389,16.22,18.052,19.884,21.716,23.548,25.38,27.212,28.831,30.291,31.75,33.209
